model,MAE,RMSE,R2
Tuned Random Forest,29.87410046654036,39.34096936470646,0.6409165083994306
Tuned XGBoost,29.742549896240234,39.4473355900782,0.6389721632003784
Tuned Gradient Boosting,29.906223149281107,39.47625541633101,0.6384426235165215
Gradient Boosting,29.884284466689365,39.497392544336165,0.6380553359961605
Random Forest,29.899274530850047,39.53927304714093,0.6372873632237948
Ridge Regression,31.031853357262577,39.66669845885596,0.6349457277071883
Regressão Linear,31.031876274220377,39.66672022287571,0.6349453271167242
Tuned KNN,30.362260442260446,40.10544540703608,0.6268254534339114
Decision Tree,31.81279992577194,41.871832147828606,0.593229682348634
DummyRegressor - mediana,55.127518427518424,65.69905889026371,-0.0014369764467454527
DummyRegressor - média,55.363284140368854,65.71544508456086,-0.0019365813893532646
